arm,source,target,seed,dataset,status,missing_reason,clips_expected,clips_scored,frames,edge_tp,edge_fp,edge_fn,division_tp,division_fp,division_fn,num_pred_nodes,estimated_total,matched_nodes,edge_weight,adjusted_edge_contribution,edge_jaccard,adj_edge_jaccard,division_jaccard,score,delta_C00,delta_C01,disabled_policy,accepted_actions,changed_edges,introduced_division_fp,newly_recovered_division_tp,lost_division_tp,metric_revision
C00,44b6,6bba,20260918,6bba_969618f6,pending,complete frozen prediction and official score pending,1,0,,,,,,,,,,,,,,,,,,,False,,,,,,075fc5f5a52d11077f9dc2b074644618f26939e2
C00,44b6,6bba,20260918,6bba_971fa5e0,pending,complete frozen prediction and official score pending,1,0,,,,,,,,,,,,,,,,,,,False,,,,,,075fc5f5a52d11077f9dc2b074644618f26939e2
C00,44b6,6bba,20260918,6bba_9a41d029,pending,complete frozen prediction and official score pending,1,0,,,,,,,,,,,,,,,,,,,False,,,,,,075fc5f5a52d11077f9dc2b074644618f26939e2
C00,44b6,6bba,20260918,6bba_9e23430b,pending,complete frozen prediction and official score pending,1,0,,,,,,,,,,,,,,,,,,,False,,,,,,075fc5f5a52d11077f9dc2b074644618f26939e2
C00,44b6,6bba,20260918,6bba_a5e926bb,pending,complete frozen prediction and official score pending,1,0,,,,,,,,,,,,,,,,,,,False,,,,,,075fc5f5a52d11077f9dc2b074644618f26939e2
C00,44b6,6bba,20260918,6bba_a90a0b9c,pending,complete frozen prediction and official score pending,1,0,,,,,,,,,,,,,,,,,,,False,,,,,,075fc5f5a52d11077f9dc2b074644618f26939e2
C00,44b6,6bba,20260918,6bba_ab78413d,pending,complete frozen prediction and official score pending,1,0,,,,,,,,,,,,,,,,,,,False,,,,,,075fc5f5a52d11077f9dc2b074644618f26939e2
C00,44b6,6bba,20260918,6bba_acd782a8,pending,complete frozen prediction and official score pending,1,0,,,,,,,,,,,,,,,,,,,False,,,,,,075fc5f5a52d11077f9dc2b074644618f26939e2
C00,44b6,6bba,20260918,6bba_ae82a791,pending,complete frozen prediction and official score pending,1,0,,,,,,,,,,,,,,,,,,,False,,,,,,075fc5f5a52d11077f9dc2b074644618f26939e2
C00,44b6,6bba,20260918,6bba_aeee7805,pending,complete frozen prediction and official score pending,1,0,,,,,,,,,,,,,,,,,,,False,,,,,,075fc5f5a52d11077f9dc2b074644618f26939e2
C00,44b6,6bba,20260918,6bba_af149c94,pending,complete frozen prediction and official score pending,1,0,,,,,,,,,,,,,,,,,,,False,,,,,,075fc5f5a52d11077f9dc2b074644618f26939e2
C00,44b6,6bba,20260918,6bba_afb141ff,pending,complete frozen prediction and official score pending,1,0,,,,,,,,,,,,,,,,,,,False,,,,,,075fc5f5a52d11077f9dc2b074644618f26939e2
C00,44b6,6bba,20260918,6bba_b1ae37b9,pending,complete frozen prediction and official score pending,1,0,,,,,,,,,,,,,,,,,,,False,,,,,,075fc5f5a52d11077f9dc2b074644618f26939e2
C00,44b6,6bba,20260918,6bba_b204cac7,pending,complete frozen prediction and official score pending,1,0,,,,,,,,,,,,,,,,,,,False,,,,,,075fc5f5a52d11077f9dc2b074644618f26939e2
C00,44b6,6bba,20260918,6bba_b329af44,pending,complete frozen prediction and official score pending,1,0,,,,,,,,,,,,,,,,,,,False,,,,,,075fc5f5a52d11077f9dc2b074644618f26939e2
C00,44b6,6bba,20260918,6bba_b693381b,pending,complete frozen prediction and official score pending,1,0,,,,,,,,,,,,,,,,,,,False,,,,,,075fc5f5a52d11077f9dc2b074644618f26939e2
C00,44b6,6bba,20260918,6bba_bb9f20c3,pending,complete frozen prediction and official score pending,1,0,,,,,,,,,,,,,,,,,,,False,,,,,,075fc5f5a52d11077f9dc2b074644618f26939e2
C00,44b6,6bba,20260918,6bba_bbb708ca,pending,complete frozen prediction and official score pending,1,0,,,,,,,,,,,,,,,,,,,False,,,,,,075fc5f5a52d11077f9dc2b074644618f26939e2
C00,44b6,6bba,20260918,6bba_c27cba08,pending,complete frozen prediction and official score pending,1,0,,,,,,,,,,,,,,,,,,,False,,,,,,075fc5f5a52d11077f9dc2b074644618f26939e2
C00,44b6,6bba,20260918,6bba_c328f2fd,pending,complete frozen prediction and official score pending,1,0,,,,,,,,,,,,,,,,,,,False,,,,,,075fc5f5a52d11077f9dc2b074644618f26939e2
C00,44b6,6bba,20260918,6bba_c73a1d11,pending,complete frozen prediction and official score pending,1,0,,,,,,,,,,,,,,,,,,,False,,,,,,075fc5f5a52d11077f9dc2b074644618f26939e2
C00,44b6,6bba,20260918,6bba_cdcfe533,pending,complete frozen prediction and official score pending,1,0,,,,,,,,,,,,,,,,,,,False,,,,,,075fc5f5a52d11077f9dc2b074644618f26939e2
C00,44b6,6bba,20260918,6bba_cf35214c,pending,complete frozen prediction and official score pending,1,0,,,,,,,,,,,,,,,,,,,False,,,,,,075fc5f5a52d11077f9dc2b074644618f26939e2
C00,44b6,6bba,20260918,6bba_cff5865f,pending,complete frozen prediction and official score pending,1,0,,,,,,,,,,,,,,,,,,,False,,,,,,075fc5f5a52d11077f9dc2b074644618f26939e2
C00,44b6,6bba,20260918,6bba_d0fc38b5,pending,complete frozen prediction and official score pending,1,0,,,,,,,,,,,,,,,,,,,False,,,,,,075fc5f5a52d11077f9dc2b074644618f26939e2
C00,44b6,6bba,20260918,6bba_d1acb6ff,pending,complete frozen prediction and official score pending,1,0,,,,,,,,,,,,,,,,,,,False,,,,,,075fc5f5a52d11077f9dc2b074644618f26939e2
C00,44b6,6bba,20260918,6bba_d2b9fc0c,pending,complete frozen prediction and official score pending,1,0,,,,,,,,,,,,,,,,,,,False,,,,,,075fc5f5a52d11077f9dc2b074644618f26939e2
C00,44b6,6bba,20260918,6bba_d3da753b,pending,complete frozen prediction and official score pending,1,0,,,,,,,,,,,,,,,,,,,False,,,,,,075fc5f5a52d11077f9dc2b074644618f26939e2
