arm,embryo,dimension,stratum,metric,count,status
A10_replication,6bba,density10,middle,division_fp,11,measured
A10_replication,6bba,density10,middle,edge_fn,589,measured
A10_replication,6bba,density10,middle,edge_fp,869,measured
A10_replication,6bba,density10,middle,edge_tp,9629,measured
A10_replication,6bba,density10,no_assigned_observation,division_fn,2,measured
A10_replication,6bba,density10,no_assigned_observation,edge_fn,2078,measured
A10_replication,6bba,depth,high,division_fn,26,measured
A10_replication,6bba,depth,high,division_fp,26,measured
A10_replication,6bba,depth,high,division_tp,9,measured
A10_replication,6bba,depth,high,edge_fn,1412,measured
A10_replication,6bba,depth,high,edge_fp,1137,measured
A10_replication,6bba,depth,high,edge_tp,30092,measured
A10_replication,6bba,depth,low,division_fn,39,measured
A10_replication,6bba,depth,low,division_fp,17,measured
A10_replication,6bba,depth,low,division_tp,7,measured
A10_replication,6bba,depth,low,edge_fn,1812,measured
A10_replication,6bba,depth,low,edge_fp,1467,measured
A10_replication,6bba,depth,low,edge_tp,35491,measured
A10_replication,6bba,depth,middle,division_fn,38,measured
A10_replication,6bba,depth,middle,division_fp,27,measured
A10_replication,6bba,depth,middle,division_tp,6,measured
A10_replication,6bba,depth,middle,edge_fn,1526,measured
A10_replication,6bba,depth,middle,edge_fp,1309,measured
A10_replication,6bba,depth,middle,edge_tp,38724,measured
A10_replication,6bba,event_support,division_cross,division_fp,5,measured
A10_replication,6bba,event_support,division_extra,division_fp,65,measured
A10_replication,6bba,event_support,division_no_fork,division_fn,81,measured
A10_replication,6bba,event_support,division_observation,division_fn,22,measured
A10_replication,6bba,intensity,high,division_fn,33,measured
A10_replication,6bba,intensity,high,division_fp,27,measured
A10_replication,6bba,intensity,high,division_tp,9,measured
A10_replication,6bba,intensity,high,edge_fn,672,measured
A10_replication,6bba,intensity,high,edge_fp,980,measured
A10_replication,6bba,intensity,high,edge_tp,27162,measured
A10_replication,6bba,intensity,low,division_fn,18,measured
A10_replication,6bba,intensity,low,division_fp,10,measured
A10_replication,6bba,intensity,low,division_tp,6,measured
A10_replication,6bba,intensity,low,edge_fn,726,measured
A10_replication,6bba,intensity,low,edge_fp,1064,measured
A10_replication,6bba,intensity,low,edge_tp,33294,measured
A10_replication,6bba,intensity,middle,division_fn,50,measured
A10_replication,6bba,intensity,middle,division_fp,33,measured
A10_replication,6bba,intensity,middle,division_tp,7,measured
A10_replication,6bba,intensity,middle,edge_fn,1274,measured
A10_replication,6bba,intensity,middle,edge_fp,1869,measured
A10_replication,6bba,intensity,middle,edge_tp,43851,measured
A10_replication,6bba,intensity,no_assigned_observation,division_fn,2,measured
A10_replication,6bba,intensity,no_assigned_observation,edge_fn,2078,measured
A10_replication,6bba,local_contrast,high,division_fn,44,measured
