dataset,embryo,cap,edges,gt_transitions_covered,gt_transitions_lost_given_endpoints
6bba_207c6aaf,6bba,16,43642,377,9
6bba_20852818,6bba,4,22129,858,3
6bba_20852818,6bba,8,22153,858,3
6bba_20852818,6bba,16,22153,858,3
6bba_2312ac41,6bba,4,22416,1129,1
6bba_2312ac41,6bba,8,22416,1129,1
6bba_2312ac41,6bba,16,22416,1129,1
6bba_23af9eeb,6bba,4,6001,499,0
6bba_23af9eeb,6bba,8,6001,499,0
6bba_23af9eeb,6bba,16,6001,499,0
6bba_2540cd90,6bba,4,4232,523,0
6bba_2540cd90,6bba,8,4232,523,0
6bba_2540cd90,6bba,16,4232,523,0
6bba_2646afc7,6bba,4,8043,704,0
6bba_2646afc7,6bba,8,8043,704,0
6bba_2646afc7,6bba,16,8043,704,0
6bba_268e1230,6bba,4,7991,584,0
6bba_268e1230,6bba,8,7991,584,0
6bba_268e1230,6bba,16,7991,584,0
6bba_2819ca14,6bba,4,7717,934,1
6bba_2819ca14,6bba,8,7717,934,1
6bba_2819ca14,6bba,16,7717,934,1
6bba_283bf9f1,6bba,4,47678,1260,2
6bba_283bf9f1,6bba,8,47679,1260,2
6bba_283bf9f1,6bba,16,47679,1260,2
6bba_312f0dc3,6bba,4,18153,498,0
6bba_312f0dc3,6bba,8,18154,498,0
6bba_312f0dc3,6bba,16,18154,498,0
6bba_32db13fc,6bba,4,138991,721,6
6bba_32db13fc,6bba,8,139743,721,6
6bba_32db13fc,6bba,16,139743,721,6
6bba_337b1b3a,6bba,4,70832,1202,6
6bba_337b1b3a,6bba,8,70853,1202,6
6bba_337b1b3a,6bba,16,70853,1202,6
6bba_372c8cb8,6bba,4,9115,1003,0
6bba_372c8cb8,6bba,8,9115,1003,0
6bba_372c8cb8,6bba,16,9115,1003,0
6bba_3a1849c2,6bba,4,11439,1127,0
6bba_3a1849c2,6bba,8,11440,1127,0
6bba_3a1849c2,6bba,16,11440,1127,0
6bba_3abfe10a,6bba,4,172100,892,10
6bba_3abfe10a,6bba,8,174482,892,10
6bba_3abfe10a,6bba,16,174482,892,10
6bba_3c5691b6,6bba,4,8961,744,0
6bba_3c5691b6,6bba,8,8961,744,0
6bba_3c5691b6,6bba,16,8961,744,0
6bba_3db54e20,6bba,4,70817,457,4
6bba_3db54e20,6bba,8,71238,457,4
6bba_3db54e20,6bba,16,71238,457,4
6bba_3fda6b25,6bba,4,12492,1172,0
6bba_3fda6b25,6bba,8,12492,1172,0
6bba_3fda6b25,6bba,16,12492,1172,0
6bba_43fea39d,6bba,4,8826,865,0
6bba_43fea39d,6bba,8,8826,865,0
6bba_43fea39d,6bba,16,8826,865,0
6bba_474be664,6bba,4,76203,251,2
6bba_474be664,6bba,8,77099,251,2
6bba_474be664,6bba,16,77099,251,2
6bba_48816121,6bba,4,55034,900,3
6bba_48816121,6bba,8,55042,900,3
6bba_48816121,6bba,16,55042,900,3
6bba_4aa14c89,6bba,4,13031,661,1
6bba_4aa14c89,6bba,8,13038,661,1
6bba_4aa14c89,6bba,16,13038,661,1
6bba_4f99ce20,6bba,4,9431,1001,0
6bba_4f99ce20,6bba,8,9431,1001,0
6bba_4f99ce20,6bba,16,9431,1001,0
6bba_4ffd3da3,6bba,4,42010,664,1
6bba_4ffd3da3,6bba,8,42013,664,1
6bba_4ffd3da3,6bba,16,42013,664,1
6bba_55b7eebe,6bba,4,6300,686,0
6bba_55b7eebe,6bba,8,6300,686,0
6bba_55b7eebe,6bba,16,6300,686,0
6bba_55c70843,6bba,4,128550,423,11
6bba_55c70843,6bba,8,133927,423,11
6bba_55c70843,6bba,16,133928,423,11
6bba_57b7cc1e,6bba,4,236037,1399,42
6bba_57b7cc1e,6bba,8,239126,1399,42
6bba_57b7cc1e,6bba,16,239126,1399,42
6bba_5a4d9360,6bba,4,9480,717,0
6bba_5a4d9360,6bba,8,9480,717,0
6bba_5a4d9360,6bba,16,9480,717,0
6bba_5b28472a,6bba,4,8446,715,0
6bba_5b28472a,6bba,8,8446,715,0
6bba_5b28472a,6bba,16,8446,715,0
6bba_5c039895,6bba,4,11987,1141,1
6bba_5c039895,6bba,8,11987,1141,1
6bba_5c039895,6bba,16,11987,1141,1
6bba_5c824876,6bba,4,59670,1114,0
6bba_5c824876,6bba,8,59691,1114,0
6bba_5c824876,6bba,16,59691,1114,0
6bba_5dfe9ad1,6bba,4,66779,1449,2
6bba_5dfe9ad1,6bba,8,66788,1449,2
6bba_5dfe9ad1,6bba,16,66788,1449,2
6bba_5f89039d,6bba,4,5467,885,0
6bba_5f89039d,6bba,8,5467,885,0
6bba_5f89039d,6bba,16,5467,885,0
6bba_61dd1e0d,6bba,4,16973,533,1
6bba_61dd1e0d,6bba,8,16973,533,1
6bba_61dd1e0d,6bba,16,16973,533,1
6bba_61ecbe65,6bba,4,8677,609,0
6bba_61ecbe65,6bba,8,8677,609,0
6bba_61ecbe65,6bba,16,8677,609,0
6bba_6321a359,6bba,4,6384,785,0
6bba_6321a359,6bba,8,6384,785,0
6bba_6321a359,6bba,16,6384,785,0
6bba_6479435d,6bba,4,67081,497,10
6bba_6479435d,6bba,8,67276,497,10
6bba_6479435d,6bba,16,67276,497,10
6bba_67ebd073,6bba,4,41746,411,5
6bba_67ebd073,6bba,8,41768,411,5
6bba_67ebd073,6bba,16,41768,411,5
6bba_6ca87370,6bba,4,12395,1041,1
6bba_6ca87370,6bba,8,12395,1041,1
6bba_6ca87370,6bba,16,12395,1041,1
6bba_6db0e9b4,6bba,4,68288,440,0
6bba_6db0e9b4,6bba,8,68791,440,0
6bba_6db0e9b4,6bba,16,68791,440,0
6bba_6feb10f0,6bba,4,22765,1137,6
6bba_6feb10f0,6bba,8,22765,1137,6
6bba_6feb10f0,6bba,16,22765,1137,6
6bba_6feeb0b1,6bba,4,12342,1325,0
6bba_6feeb0b1,6bba,8,12342,1325,0
6bba_6feeb0b1,6bba,16,12342,1325,0
6bba_705ec2c9,6bba,4,10258,550,1
6bba_705ec2c9,6bba,8,10258,550,1
6bba_705ec2c9,6bba,16,10258,550,1
6bba_718b21f9,6bba,4,5036,649,0
6bba_718b21f9,6bba,8,5036,649,0
6bba_718b21f9,6bba,16,5036,649,0
6bba_74686d6a,6bba,4,66171,574,2
6bba_74686d6a,6bba,8,66782,574,2
6bba_74686d6a,6bba,16,66782,574,2
6bba_767a1e17,6bba,4,158507,599,13
6bba_767a1e17,6bba,8,159168,599,13
6bba_767a1e17,6bba,16,159168,599,13
6bba_76db78c1,6bba,4,6118,604,0
6bba_76db78c1,6bba,8,6118,604,0
6bba_76db78c1,6bba,16,6118,604,0
6bba_784a78c9,6bba,4,22288,1732,0
6bba_784a78c9,6bba,8,22288,1732,0
6bba_784a78c9,6bba,16,22288,1732,0
6bba_786893ac,6bba,4,189226,1282,30
6bba_786893ac,6bba,8,194173,1283,29
6bba_786893ac,6bba,16,194173,1283,29
6bba_789f8168,6bba,4,24624,680,0
6bba_789f8168,6bba,8,24640,680,0
6bba_789f8168,6bba,16,24640,680,0
6bba_78a7bd97,6bba,4,128114,781,9
6bba_78a7bd97,6bba,8,130089,781,9
6bba_78a7bd97,6bba,16,130089,781,9
6bba_7af54fde,6bba,4,19431,1062,2
6bba_7af54fde,6bba,8,19435,1062,2
6bba_7af54fde,6bba,16,19435,1062,2
6bba_7b5d3b2c,6bba,4,7605,550,0
6bba_7b5d3b2c,6bba,8,7605,550,0
6bba_7b5d3b2c,6bba,16,7605,550,0
6bba_7d3058ae,6bba,4,11642,1171,0
6bba_7d3058ae,6bba,8,11642,1171,0
6bba_7d3058ae,6bba,16,11642,1171,0
6bba_7f87b3d8,6bba,4,22898,921,2
6bba_7f87b3d8,6bba,8,22899,921,2
6bba_7f87b3d8,6bba,16,22899,921,2
6bba_80d12824,6bba,4,16931,631,0
6bba_80d12824,6bba,8,16937,631,0
6bba_80d12824,6bba,16,16937,631,0
6bba_825bd1c6,6bba,4,14595,914,4
6bba_825bd1c6,6bba,8,14595,914,4
6bba_825bd1c6,6bba,16,14595,914,4
6bba_87289e13,6bba,4,35736,690,5
6bba_87289e13,6bba,8,35751,690,5
6bba_87289e13,6bba,16,35751,690,5
6bba_8b7818bf,6bba,4,8830,725,0
6bba_8b7818bf,6bba,8,8830,725,0
6bba_8b7818bf,6bba,16,8830,725,0
6bba_907271db,6bba,4,10409,916,0
6bba_907271db,6bba,8,10409,916,0
6bba_907271db,6bba,16,10409,916,0
6bba_91951b3a,6bba,4,20949,1142,0
6bba_91951b3a,6bba,8,20949,1142,0
6bba_91951b3a,6bba,16,20949,1142,0
6bba_96833384,6bba,4,6568,706,0
6bba_96833384,6bba,8,6568,706,0
6bba_96833384,6bba,16,6568,706,0
6bba_969618f6,6bba,4,32385,653,0
6bba_969618f6,6bba,8,32385,653,0
6bba_969618f6,6bba,16,32385,653,0
6bba_971fa5e0,6bba,4,8007,767,0
6bba_971fa5e0,6bba,8,8007,767,0
6bba_971fa5e0,6bba,16,8007,767,0
6bba_9a41d029,6bba,4,48960,1324,1
6bba_9a41d029,6bba,8,49163,1324,1
6bba_9a41d029,6bba,16,49163,1324,1
6bba_9e23430b,6bba,4,13757,869,4
6bba_9e23430b,6bba,8,13758,869,4
6bba_9e23430b,6bba,16,13758,869,4
6bba_a5e926bb,6bba,4,15898,695,0
6bba_a5e926bb,6bba,8,15898,695,0
6bba_a5e926bb,6bba,16,15898,695,0
6bba_a90a0b9c,6bba,4,95217,933,27
6bba_a90a0b9c,6bba,8,96729,934,26
6bba_a90a0b9c,6bba,16,96729,934,26
6bba_ab78413d,6bba,4,26264,970,14
6bba_ab78413d,6bba,8,26271,970,14
6bba_ab78413d,6bba,16,26271,970,14
6bba_acd782a8,6bba,4,50260,322,2
6bba_acd782a8,6bba,8,50272,322,2
6bba_acd782a8,6bba,16,50272,322,2
6bba_ae82a791,6bba,4,11351,1467,1
6bba_ae82a791,6bba,8,11351,1467,1
6bba_ae82a791,6bba,16,11351,1467,1
6bba_aeee7805,6bba,4,6416,764,0
6bba_aeee7805,6bba,8,6416,764,0
6bba_aeee7805,6bba,16,6416,764,0
6bba_af149c94,6bba,4,12492,1283,2
6bba_af149c94,6bba,8,12492,1283,2
6bba_af149c94,6bba,16,12492,1283,2
6bba_afb141ff,6bba,4,10391,625,1
6bba_afb141ff,6bba,8,10391,625,1
6bba_afb141ff,6bba,16,10391,625,1
6bba_b1ae37b9,6bba,4,82221,564,5
6bba_b1ae37b9,6bba,8,85778,564,5
6bba_b1ae37b9,6bba,16,85778,564,5
6bba_b204cac7,6bba,4,7612,797,0
6bba_b204cac7,6bba,8,7612,797,0
6bba_b204cac7,6bba,16,7612,797,0
6bba_b329af44,6bba,4,244516,1210,3
6bba_b329af44,6bba,8,255185,1212,1
6bba_b329af44,6bba,16,255185,1212,1
6bba_b693381b,6bba,4,11108,931,0
6bba_b693381b,6bba,8,11108,931,0
6bba_b693381b,6bba,16,11108,931,0
6bba_bb9f20c3,6bba,4,60548,1845,3
6bba_bb9f20c3,6bba,8,60743,1845,3
6bba_bb9f20c3,6bba,16,60743,1845,3
6bba_bbb708ca,6bba,4,10768,855,0
6bba_bbb708ca,6bba,8,10768,855,0
6bba_bbb708ca,6bba,16,10768,855,0
6bba_c27cba08,6bba,4,10213,483,0
6bba_c27cba08,6bba,8,10213,483,0
6bba_c27cba08,6bba,16,10213,483,0
6bba_c328f2fd,6bba,4,94838,449,7
6bba_c328f2fd,6bba,8,95300,449,7
6bba_c328f2fd,6bba,16,95300,449,7
6bba_c73a1d11,6bba,4,66541,577,16
6bba_c73a1d11,6bba,8,66595,577,16
6bba_c73a1d11,6bba,16,66595,577,16
6bba_cdcfe533,6bba,4,64382,1345,1
6bba_cdcfe533,6bba,8,64389,1345,1
6bba_cdcfe533,6bba,16,64389,1345,1
6bba_cf35214c,6bba,4,74381,816,1
6bba_cf35214c,6bba,8,74396,816,1
6bba_cf35214c,6bba,16,74396,816,1
6bba_cff5865f,6bba,4,124447,1483,6
6bba_cff5865f,6bba,8,124535,1483,6
6bba_cff5865f,6bba,16,124535,1483,6
6bba_d0fc38b5,6bba,4,8311,813,0
6bba_d0fc38b5,6bba,8,8311,813,0
6bba_d0fc38b5,6bba,16,8311,813,0
