dataset,embryo,variant,predicted_tp_pairs_lost,predicted_tp_pairs_new,predicted_tp_pairs_retained,fp_pairs_lost,fp_pairs_new,fp_pairs_retained,recovered_gt_edges_lost,recovered_gt_edges_new,recovered_gt_edges_retained
6bba_312f0dc3,6bba,A_residual_m3.0,0,0,488,0,0,20,0,0,488
6bba_32db13fc,6bba,A_residual_m3.0,0,0,685,0,1,93,0,0,685
6bba_337b1b3a,6bba,A_residual_m3.0,0,0,1193,0,1,26,0,0,1193
6bba_372c8cb8,6bba,A_residual_m3.0,0,0,1003,0,0,0,0,0,1003
6bba_3a1849c2,6bba,A_residual_m3.0,0,0,1108,0,1,38,0,0,1108
6bba_3abfe10a,6bba,A_residual_m3.0,0,2,842,0,0,99,0,2,842
6bba_3c5691b6,6bba,A_residual_m3.0,0,0,742,0,0,4,0,0,742
6bba_3db54e20,6bba,A_residual_m3.0,0,0,443,0,0,33,0,0,443
6bba_3fda6b25,6bba,A_residual_m3.0,0,1,1168,0,0,6,0,1,1168
6bba_43fea39d,6bba,A_residual_m3.0,0,3,860,0,0,5,0,3,860
6bba_474be664,6bba,A_residual_m3.0,0,1,236,0,0,33,0,1,236
6bba_48816121,6bba,A_residual_m3.0,0,0,888,0,0,22,0,0,888
6bba_4aa14c89,6bba,A_residual_m3.0,0,0,650,0,0,27,0,0,650
6bba_4f99ce20,6bba,A_residual_m3.0,0,0,1000,0,0,3,0,0,1000
6bba_4ffd3da3,6bba,A_residual_m3.0,0,0,650,0,0,26,0,0,650
6bba_55b7eebe,6bba,A_residual_m3.0,0,0,684,0,0,2,0,0,684
6bba_55c70843,6bba,A_residual_m3.0,0,0,397,0,0,71,0,0,397
6bba_57b7cc1e,6bba,A_residual_m3.0,0,3,1267,0,2,310,0,3,1267
6bba_5a4d9360,6bba,A_residual_m3.0,0,4,713,0,0,2,0,4,713
6bba_5b28472a,6bba,A_residual_m3.0,0,1,714,0,0,3,0,1,714
6bba_5c039895,6bba,A_residual_m3.0,0,0,1136,0,0,12,0,0,1136
6bba_5c824876,6bba,A_residual_m3.0,0,0,1094,0,0,38,0,0,1094
6bba_5dfe9ad1,6bba,A_residual_m3.0,0,0,1439,0,0,13,0,0,1439
6bba_5f89039d,6bba,A_residual_m3.0,0,0,885,0,0,0,0,0,885
6bba_61dd1e0d,6bba,A_residual_m3.0,0,0,530,0,0,9,0,0,530
6bba_61ecbe65,6bba,A_residual_m3.0,0,2,605,0,0,5,0,2,605
6bba_6321a359,6bba,A_residual_m3.0,0,0,784,0,1,5,0,0,784
6bba_6479435d,6bba,A_residual_m3.0,0,0,472,0,0,66,0,0,472
6bba_67ebd073,6bba,A_residual_m3.0,0,1,390,0,1,59,0,1,390
6bba_6ca87370,6bba,A_residual_m3.0,0,1,1039,0,0,6,0,1,1039
6bba_6db0e9b4,6bba,A_residual_m3.0,0,0,430,0,0,12,0,0,430
6bba_6feb10f0,6bba,A_residual_m3.0,0,1,1112,0,2,99,0,1,1112
6bba_6feeb0b1,6bba,A_residual_m3.0,0,0,1323,0,0,9,0,0,1323
6bba_705ec2c9,6bba,A_residual_m3.0,0,0,539,0,0,24,0,0,539
6bba_718b21f9,6bba,A_residual_m3.0,0,0,649,0,0,0,0,0,649
6bba_74686d6a,6bba,A_residual_m3.0,0,1,554,0,0,28,0,1,554
6bba_767a1e17,6bba,A_residual_m3.0,0,0,577,0,2,60,0,0,577
6bba_76db78c1,6bba,A_residual_m3.0,0,0,604,0,0,0,0,0,604
6bba_784a78c9,6bba,A_residual_m3.0,0,0,1729,0,0,4,0,0,1729
6bba_786893ac,6bba,A_residual_m3.0,0,2,1178,0,3,245,0,2,1178
6bba_789f8168,6bba,A_residual_m3.0,0,0,675,0,0,6,0,0,675
6bba_78a7bd97,6bba,A_residual_m3.0,0,1,738,0,0,87,0,1,738
6bba_7af54fde,6bba,A_residual_m3.0,0,1,1041,0,0,37,0,1,1041
6bba_7b5d3b2c,6bba,A_residual_m3.0,0,1,544,0,0,7,0,1,544
6bba_7d3058ae,6bba,A_residual_m3.0,0,0,1168,0,0,3,0,0,1168
6bba_7f87b3d8,6bba,A_residual_m3.0,0,0,912,0,0,20,0,0,912
6bba_80d12824,6bba,A_residual_m3.0,0,2,626,0,0,16,0,2,626
6bba_825bd1c6,6bba,A_residual_m3.0,0,1,897,0,0,44,0,1,897
6bba_87289e13,6bba,A_residual_m3.0,0,0,688,0,0,11,0,0,688
6bba_8b7818bf,6bba,A_residual_m3.0,0,0,724,0,0,0,0,0,724
6bba_907271db,6bba,A_residual_m3.0,0,0,914,0,0,5,0,0,914
6bba_91951b3a,6bba,A_residual_m3.0,0,8,1132,0,0,8,0,8,1132
6bba_96833384,6bba,A_residual_m3.0,0,0,705,0,0,4,0,0,705
6bba_969618f6,6bba,A_residual_m3.0,0,1,650,0,0,1,0,1,650
6bba_971fa5e0,6bba,A_residual_m3.0,0,3,762,0,0,2,0,3,762
6bba_9a41d029,6bba,A_residual_m3.0,0,2,1312,0,0,28,0,2,1312
6bba_9e23430b,6bba,A_residual_m3.0,0,2,863,0,0,22,0,2,863
6bba_a5e926bb,6bba,A_residual_m3.0,0,3,689,0,0,7,0,3,689
6bba_a90a0b9c,6bba,A_residual_m3.0,0,1,873,0,2,190,0,1,873
6bba_ab78413d,6bba,A_residual_m3.0,0,3,940,0,1,103,0,3,940
6bba_acd782a8,6bba,A_residual_m3.0,0,0,311,0,1,21,0,0,311
6bba_ae82a791,6bba,A_residual_m3.0,0,0,1464,0,0,10,0,0,1464
6bba_aeee7805,6bba,A_residual_m3.0,0,1,761,0,0,4,0,1,761
6bba_af149c94,6bba,A_residual_m3.0,0,0,1272,0,0,26,0,0,1272
6bba_afb141ff,6bba,A_residual_m3.0,0,0,613,0,0,19,0,0,613
6bba_b1ae37b9,6bba,A_residual_m3.0,0,0,546,0,0,39,0,0,546
6bba_b204cac7,6bba,A_residual_m3.0,0,1,794,0,0,7,0,1,794
6bba_b329af44,6bba,A_residual_m3.0,0,0,1178,0,1,62,0,0,1178
6bba_b693381b,6bba,A_residual_m3.0,0,1,928,0,0,7,0,1,928
6bba_bb9f20c3,6bba,A_residual_m3.0,0,1,1796,0,1,82,0,1,1796
6bba_bbb708ca,6bba,A_residual_m3.0,0,0,854,0,0,3,0,0,854
6bba_c27cba08,6bba,A_residual_m3.0,0,0,478,0,0,12,0,0,478
6bba_c328f2fd,6bba,A_residual_m3.0,0,1,440,0,0,27,0,1,440
6bba_c73a1d11,6bba,A_residual_m3.0,0,1,544,0,1,92,0,1,544
6bba_cdcfe533,6bba,A_residual_m3.0,0,0,1335,0,0,12,0,0,1335
6bba_cf35214c,6bba,A_residual_m3.0,0,0,815,0,0,3,0,0,815
6bba_cff5865f,6bba,A_residual_m3.0,0,0,1455,0,0,43,0,0,1455
6bba_d0fc38b5,6bba,A_residual_m3.0,0,1,812,0,0,0,0,1,812
6bba_d1acb6ff,6bba,A_residual_m3.0,0,1,608,0,0,27,0,1,608
6bba_d2b9fc0c,6bba,A_residual_m3.0,0,0,917,0,0,7,0,0,917
6bba_d3da753b,6bba,A_residual_m3.0,0,2,844,0,0,13,0,2,844
6bba_d5eae175,6bba,A_residual_m3.0,0,0,519,0,0,0,0,0,519
6bba_d6ecebbb,6bba,A_residual_m3.0,0,0,849,0,0,6,0,0,849
6bba_d82a4fc6,6bba,A_residual_m3.0,0,0,509,0,0,18,0,0,509
6bba_debd7bfa,6bba,A_residual_m3.0,0,0,719,0,0,5,0,0,719
6bba_df673a83,6bba,A_residual_m3.0,0,0,647,0,0,3,0,0,647
6bba_e16ffc58,6bba,A_residual_m3.0,0,0,934,0,0,10,0,0,934
6bba_e5e44988,6bba,A_residual_m3.0,0,10,614,0,0,5,0,10,614
