variant,embryo,samples,n,edge_jaccard,division_jaccard,division_tp,division_fp,division_fn,node_recall,adj_edge_jaccard,n_adj,score,edge_tp,edge_fp,edge_fn,num_pred_nodes,seconds,delta_v2
D_image_p010,6bba,128,128,0.9100196601600898,0.0637065637065637,33,393,92,0.9795753914358454,0.9106989835776313,128,0.9170696399482877,103684,4879,5373,2136193,129.40436977054924,-0.017455609921245285
D_image_p010,pooled,199,199,0.9060870337083639,0.051597051597051594,42,663,109,0.982494434312724,0.908953464642196,199,0.9141131698019012,122493,6306,6390,4108943,215.3598743188195,-0.020093145168439186
D_image_p020,44b6,71,71,0.8840430026759307,0.02824858757062147,10,328,16,0.9877569341470968,0.8986367015356067,71,0.9014615602926689,18831,1475,995,1972750,86.89772875793278,-0.030150826484662052
D_image_p020,6bba,128,128,0.9103223654177055,0.05928853754940711,30,381,95,0.9795753914358454,0.9110027692685102,128,0.9169316230234509,103693,4851,5364,2136193,127.91026059957221,-0.017593626846082122
D_image_p020,pooled,199,199,0.9061822807653337,0.046511627906976744,40,709,111,0.982494434312724,0.9090546030312139,199,0.9137057658219115,122524,6326,6359,4108943,214.807989357505,-0.020500549148428804
D_image_p040,44b6,71,71,0.8862483561901183,0.02617801047120419,10,356,16,0.9877569341470968,0.9008976327695365,71,0.9035154338166569,18870,1466,956,1972750,86.46481072669849,-0.02809695296067405
D_image_p040,6bba,128,128,0.9109977075300173,0.06365503080082136,31,362,94,0.9795753914358454,0.9116788486582164,128,0.9180443517382985,103718,4794,5339,2136193,128.2972531071864,-0.016480898131234545
D_image_p040,pooled,199,199,0.90709840687272,0.047180667433831994,41,718,110,0.982494434312724,0.9099802505162352,199,0.9146983172596184,122588,6260,6295,4108943,214.7620638338849,-0.01950799771072198
D_replace_p020,44b6,71,71,0.8840845070422535,0.028328611898016998,10,327,16,0.9877569341470968,0.8986784595849305,71,0.9015113207747323,18831,1474,995,1972750,86.4772265390493,-0.030101066002598653
D_replace_p020,6bba,128,128,0.9103615388667451,0.05765407554671968,29,378,96,0.9795753914358454,0.9110411863119847,128,0.9168065938666566,103692,4845,5365,2136193,128.18517099507153,-0.017718656002876365
