adj_edge_jaccard,dataset,division_fn,division_fp,division_tp,edge_fn,edge_fp,edge_jaccard,edge_tp,embryo,estimated_total,graph_hash,gt_node_recall,matched_nodes,metric_revision,node_recall,num_pred_nodes,total_node_ratio,variant
1.0071691532648712,44b6_95029e92,0,0,0,0,0,1.0,198,44b6,5161,9e74cdb9a38ba2061dc7e118ec838e2432128d927ed8e296d248114b5851e09b,1.0,200,075fc5f5a52d11077f9dc2b074644618f26939e2,1.0,4791,-0.07169153264871149,A_residual_m3.0
0.9741756086046353,44b6_97725144,0,1,0,3,4,0.9688888888888889,218,44b6,35774,5169bf239bfd995ba2818c451fbe770857d5155d7bf6c7bcca06fae5d892de6e,0.9955555555555555,224,075fc5f5a52d11077f9dc2b074644618f26939e2,0.9955555555555555,33822,-0.05456476770839157,A_residual_m3.0
0.9542350671581131,44b6_996155de,0,0,1,7,2,0.9762532981530343,370,44b6,7573,831465bf918671f358dc618d9437f594d0f42cab5b79b90b24e063ca1304c3fb,0.9868421052631579,375,075fc5f5a52d11077f9dc2b074644618f26939e2,0.9868421052631579,9281,0.22553809586689555,A_residual_m3.0
0.9213736770011831,44b6_9be80b04,1,1,0,13,17,0.8734177215189873,207,44b6,57877,acee47d6712152fc95379c1d5bc3c1d1fb612ca4e88c8f6f6f736aac640b9e9e,0.9864864864864865,219,075fc5f5a52d11077f9dc2b074644618f26939e2,0.9864864864864865,26099,-0.5490609395787619,A_residual_m3.0
0.9047325149503728,44b6_9bfa6a0a,0,0,0,15,21,0.8714285714285714,244,44b6,64308,36fc9b4af32cdc94daa710a5a03f0cd3defae300010eb14350d5be249b462e9c,1.0,264,075fc5f5a52d11077f9dc2b074644618f26939e2,1.0,39731,-0.38217640106985135,A_residual_m3.0
0.9939192557104143,44b6_a21120c2,1,0,1,2,1,0.9895470383275261,284,44b6,23040,df7c162fb511ca9f3511852037a6942af530128ceb0545f35960d25364531b5d,1.0,296,075fc5f5a52d11077f9dc2b074644618f26939e2,1.0,22022,-0.04418402777777778,A_residual_m3.0
0.8564781265729929,44b6_a2bb48bb,0,1,0,34,39,0.8374164810690423,376,44b6,60613,57a5f60c51e97ff5fb872d128c842f81522302300abe986591c2889b6cb545b3,0.9975961538461539,415,075fc5f5a52d11077f9dc2b074644618f26939e2,0.9975961538461539,46816,-0.22762443700196328,A_residual_m3.0
1.0151886238317684,44b6_aaf8b0ea,1,0,0,3,0,0.9854368932038835,203,44b6,22099,a102c224b75a879e80a13b384cfdf86c9e88233581aa4cd416e600c366f6a91d,0.9904306220095693,207,075fc5f5a52d11077f9dc2b074644618f26939e2,0.9904306220095693,15427,-0.3019141137608037,A_residual_m3.0
0.9936209855169731,44b6_abf82518,0,1,0,0,1,0.9894736842105263,94,44b6,27604,fe14333bc7408c434f7a1fcc915920fe971e5c7140a61e0498ee4b15a62b2695,1.0,96,075fc5f5a52d11077f9dc2b074644618f26939e2,1.0,26447,-0.041914215331111435,A_residual_m3.0
0.872183789679561,44b6_b2c44266,0,0,0,14,15,0.8415300546448088,154,44b6,59729,89a3f4d18a1e40c73a90864152449bd7ed4ed1bdaa9607cb1fb6233048ad844b,0.9647058823529412,164,075fc5f5a52d11077f9dc2b074644618f26939e2,0.9647058823529412,37972,-0.3642619163220546,A_residual_m3.0
