dataset,embryo,adj_edge_jaccard_v2,edge_tp_v2,edge_fp_v2,edge_fn_v2,division_tp_v2,division_fp_v2,division_fn_v2,num_pred_nodes_v2,adj_edge_jaccard_selected,edge_tp_selected,edge_fp_selected,edge_fn_selected,division_tp_selected,division_fp_selected,division_fn_selected,num_pred_nodes_selected,delta_adj_edge_jaccard,delta_edge_tp,delta_edge_fp,delta_edge_fn,delta_division_tp,delta_division_fp,delta_division_fn,delta_num_pred_nodes
44b6_87bba6c4,44b6,0.6038993590219217,114,39,35,0,1,0,29253,0.6038993590219217,114,39,35,0,1,0,29253,0.0,0,0,0,0,0,0,0
44b6_8cc6506c,44b6,0.9997625944627232,386,6,10,0,0,0,18916,0.9997625944627232,386,6,10,0,0,0,18916,0.0,0,0,0,0,0,0,0
44b6_8f5ab931,44b6,0.8626784596172499,564,49,40,0,3,0,27899,0.8626784596172499,564,49,40,0,3,0,27899,0.0,0,0,0,0,0,0,0
44b6_8f9ecab4,44b6,1.014402636982793,364,5,6,0,0,0,41115,1.014402636982793,364,5,6,0,0,0,41115,0.0,0,0,0,0,0,0,0
44b6_90724892,44b6,0.8032402674476962,94,15,9,0,0,0,23407,0.8032402674476962,94,15,9,0,0,0,23407,0.0,0,0,0,0,0,0,0
44b6_949adeb1,44b6,0.8184841187937163,344,40,34,0,0,0,39204,0.8184841187937163,344,40,34,0,0,0,39204,0.0,0,0,0,0,0,0,0
44b6_95029e92,44b6,1.0071691532648712,198,0,0,0,0,0,4791,1.0071691532648712,198,0,0,0,0,0,4791,0.0,0,0,0,0,0,0,0
44b6_97725144,44b6,0.9741756086046351,218,4,3,0,1,0,33822,0.9741756086046351,218,4,3,0,1,0,33822,0.0,0,0,0,0,0,0,0
44b6_996155de,44b6,0.9542350671581132,370,2,7,1,0,0,9281,0.9542350671581132,370,2,7,1,0,0,9281,0.0,0,0,0,0,0,0,0
44b6_9be80b04,44b6,0.9213736770011832,207,17,13,0,1,1,26099,0.9213736770011832,207,17,13,0,1,1,26099,0.0,0,0,0,0,0,0,0
44b6_9bfa6a0a,44b6,0.9047325149503728,244,21,15,0,0,0,39731,0.9047325149503728,244,21,15,0,0,0,39731,0.0,0,0,0,0,0,0,0
44b6_a21120c2,44b6,0.9939192557104144,284,1,2,1,0,1,22022,0.9939192557104144,284,1,2,1,0,1,22022,0.0,0,0,0,0,0,0,0
44b6_a2bb48bb,44b6,0.8564781265729929,376,39,34,0,1,0,46816,0.8564781265729929,376,39,34,0,1,0,46816,0.0,0,0,0,0,0,0,0
44b6_aaf8b0ea,44b6,1.0151886238317684,203,0,3,0,0,1,15427,1.0151886238317684,203,0,3,0,0,1,15427,0.0,0,0,0,0,0,0,0
44b6_abf82518,44b6,0.9936209855169732,94,1,0,0,1,0,26447,0.9936209855169732,94,1,0,0,1,0,26447,0.0,0,0,0,0,0,0,0
44b6_b2c44266,44b6,0.872183789679561,154,15,14,0,0,0,37972,0.872183789679561,154,15,14,0,0,0,37972,0.0,0,0,0,0,0,0,0
