variant,embryo,samples,n,edge_jaccard,division_jaccard,division_tp,division_fp,division_fn,node_recall,adj_edge_jaccard,n_adj,score,edge_tp,edge_fp,edge_fn,num_pred_nodes,delta_v3,matched_control,delta_vs_C1
C4_m6,pooled,199,199,0.9199258877408462,0.1234567901234567,30,92,121,0.982494434312724,0.9228326912443082,199,0.9351783702566538,123133,4968,5750,4108943,0.0003759959960678,C1,0.00037599599606785716
C1_relinked,44b6,71,71,0.895117540687161,0.0,0,0,26,0.9877569341470968,0.9099343659969372,71,0.9099343659969372,18810,1188,1016,1972750,-0.0217301027249048,C1,-0.02173010272490461
C1_relinked,6bba,128,128,0.90644647204077,0.0,0,0,125,0.9795753914358454,0.9071230398141126,128,0.9071230398141126,103518,5145,5539,2136193,-0.0280987442832144,C1,-0.028098744283214794
C1_relinked,pooled,199,199,0.9046858359957402,0.0,0,0,151,0.982494434312724,0.9075599497094348,199,0.9075599497094348,122328,6333,6555,4108943,-0.0272424245511512,C1,-0.027242424551151223
C4_relinked,44b6,71,71,0.901136689273092,0.0666666666666666,2,4,24,0.9877569341470968,0.916020531070842,71,0.9226871977375086,18868,1112,958,1972750,-0.0089772709843334,C1,-0.008977270984333208
C4_relinked,6bba,128,128,0.921223584313656,0.0,0,2,125,0.9795753914358454,0.921903160590209,128,0.921903160590209,104230,4086,4827,2136193,-0.0133186235071179,C1,-0.013318623507118321
C4_relinked,pooled,199,199,0.9180868281113655,0.0127388535031847,2,6,149,0.982494434312724,0.920984533067469,199,0.9222584184177874,123098,5198,5785,4108943,-0.0125439558427985,C1,-0.012543955842798549
D_real,44b6,71,71,0.8945165739287583,0.0,0,0,26,0.9881280265173142,0.9093052169910478,71,0.9093052169910478,18809,1201,1017,1972750,-0.0223592517307942,C1,-0.022359251730794005
D_real,6bba,128,128,0.9047764849969382,0.0,0,0,125,0.9795490559867244,0.9054492876225156,128,0.9054492876225156,103425,5253,5632,2136193,-0.0297724964748115,C1,-0.029772496474811727
D_real,pooled,199,199,0.903182426091904,0.0,0,0,151,0.982609894718744,0.9060483745450284,199,0.9060483745450284,122234,6454,6649,4108943,-0.0287539997155575,C1,-0.028753999715557588
D_synthetic,44b6,71,71,0.8934632754932256,0.0,0,0,26,0.987898420208325,0.9082378218616788,71,0.9082378218616788,18794,1209,1032,1972750,-0.0234266468601633,C1,-0.023426646860163047
