edge_tp,edge_fp,edge_fn,division_tp,division_fp,division_fn,num_pred_nodes,node_recall,total_node_ratio,edge_jaccard,adj_edge_jaccard,dataset,estimated_total,gt_node_recall,matched_nodes,graph_hash,metric_revision,variant,embryo,prediction_sha256,seconds,count_ratio,gt_node_count,exact_duplicate_centers,match_distance_sum_um,match_distance_squared_sum_um2,mean_match_distance_um,gt_division_parents,division_daughters_matched
198,33,26,0,1,0,31654,0.9780701754385965,-0.4507088691064952,0.7704280155642024,0.8051518895264926,44b6_551a5dba,57627,0.9780701754385965,223,3bf23784084aaa2a359dec872c8808175300a65b8a0bdf4ef5a6d86dacb04f3d,075fc5f5a52d11077f9dc2b074644618f26939e2,C0,44b6,c9013e5264d45bf18f6080859fd91d42798db668678c3e594852f16141593f7a,1.212546902243048,0.5492911308935048,228,0,478.2850828433269,1526.611328125,2.1447761562481027,0,0
168,1,2,0,0,0,11447,1.0,-0.419817536746072,0.9824561403508771,1.023701372031193,44b6_5740d24b,19730,1.0,173,b72c95b3199638461070c970980c4a38614db27d8aac0404df5191d1833aced4,075fc5f5a52d11077f9dc2b074644618f26939e2,C0,44b6,5dec36893049c6d90601113e67bf2ee83914d989c956bda22063f163c8dd680f,0.47227445477619767,0.5801824632539281,173,0,241.7980753960981,499.73828125,1.3976767363936307,0,0
368,5,3,1,0,0,18801,1.0,0.036610244252081384,0.9787234042553191,0.9751402739668176,44b6_587a1e22,18137,1.0,381,a8ec5380571eea27e97fe659ffcdf4671de2f18c899fe83b4f368340556b0542,075fc5f5a52d11077f9dc2b074644618f26939e2,C0,44b6,ee1757df407a9de39b289eaf50a1c3c3ee48c5e822190251720d6dfbb84d4be9,0.9446005797944963,1.0366102442520815,381,0,654.5902644975952,1713.9306640625,1.7180846837207222,1,1
257,17,16,0,0,1,21935,0.9856115107913669,-0.2569192723330736,0.8862068965517241,0.9089752596515862,44b6_5f15d135,29519,0.9856115107913669,274,3fd9cdd4b9f9e7cc6c92ddb90244ba952aceb80a88843329d7019534af076104,075fc5f5a52d11077f9dc2b074644618f26939e2,C0,44b6,8ed4970fa7c412227d36e54513467f6776022eae4a502609e282b0966e1efcab,1.079821385908872,0.7430807276669263,278,1,562.850880634798,1711.9501953125,2.0542002942875843,1,1
617,21,14,0,0,0,33926,0.9984447900466563,-0.14546233092365432,0.946319018404908,0.9600843954263641,44b6_668e0cc7,39701,0.9984447900466563,642,b884d72000e65661b796790cab14bee629a37ca5aed65af399bed412934fdc05,075fc5f5a52d11077f9dc2b074644618f26939e2,C0,44b6,ff6f0308db5a02d8b870300f1e4b1cca757f92120c7210642a25a7373724ae15,1.2589306118898094,0.8545376690763457,643,0,1002.4371919515077,2162.5068359375,1.5614286478995447,0,0
197,2,1,0,0,0,23697,1.0,-0.5504268639726807,0.985,1.039217046101309,44b6_66f9292d,52710,1.0,200,fbf1220008817ad17ff8387a7875d556e88834829da4a0ab7280dce5c23bb335,075fc5f5a52d11077f9dc2b074644618f26939e2,C0,44b6,54efff4913bc4d7671f8d5c23ba4ccf0ee35a904300bd5a296a9e1f6122e3aed,0.9554233090020716,0.4495731360273193,200,0,405.0254655146422,1018.7861328125,2.0251273275732107,0,0
96,17,21,0,0,1,29809,0.9491525423728814,-0.5735357234827893,0.7164179104477612,0.7575070369062297,44b6_706092f0,69898,0.9491525423728814,112,7dcf59cf1cdf2c0f0692568df4b5ee43183679c4987f0905f468b9385bde1cba,075fc5f5a52d11077f9dc2b074644618f26939e2,C0,44b6,ff1f0a6b120d29d37dffb23632712279ac2c8bdda0895d068fc7eef6f8776b84,1.5189753859303892,0.4264642765172108,118,1,281.1596760162438,923.888671875,2.510354250145034,1,0
100,26,19,0,1,0,31997,0.9752066115702479,-0.5272869637158728,0.6896551724137931,0.7260197906010947,44b6_71a4179f,67688,0.9752066115702479,118,814e9f6acfe8f3f62f6201015f534e125791f403f516132c7da66b151d73019f,075fc5f5a52d11077f9dc2b074644618f26939e2,C0,44b6,455031e50c3b11b2ccf0cdadf4a4851dc52e8026e0309b51ef3fff5267612ed7,1.305839367210865,0.4727130362841272,121,0,300.3650334204558,856.22265625,2.545466384919117,0,0
133,6,6,0,0,1,8706,1.0,-0.42306163021868787,0.9172413793103448,0.956046342633852,44b6_74d0c52e,15090,1.0,140,b27a2a71f57746309dab4b2b514ae6f6421f33aeb6d40f10872a2ce4a332eb19,075fc5f5a52d11077f9dc2b074644618f26939e2,C0,44b6,48f44eb6bca7409fdf63d91db61c4510331e92e4a3bc405cf9cbc1883d15141b,0.4905900973826647,0.5769383697813121,140,1,200.71105774235684,398.2392578125,1.433650412445406,1,1
490,24,17,0,0,1,44857,1.0,-0.3290705674713572,0.9227871939736346,0.9531534045312551,44b6_7a302da0,66858,1.0,516,c5fd7f858ff2d1cbda0902603b10ed3fd4927d68f53df476b3de0e4e6e8894f0,075fc5f5a52d11077f9dc2b074644618f26939e2,C0,44b6,f777450af3cb18693518c15d13bf8f000e2d8ae8464c37784cc445ae0da7eb8a,2.252266847062856,0.6709294325286428,516,1,908.2995940386866,2455.2861328125,1.7602705310827258,1,1
