dataset,embryo,detector,mean_center_score,changed_centers,mean_realized_shift_um,max_realized_shift_um,node_count_unchanged
44b6_706092f0,44b6,synthetic,0.45680636167526245,7689,0.1118453847711291,0.5745242597140698,True
44b6_71a4179f,44b6,real,0.4449528157711029,4814,0.06326140337230449,0.5745242597140698,True
44b6_71a4179f,44b6,synthetic,0.4629688262939453,7549,0.10208840817203492,0.5745242597140698,True
44b6_74d0c52e,44b6,real,0.41582247614860535,569,0.026976600472514305,0.5745242597140698,True
44b6_74d0c52e,44b6,synthetic,0.4274700880050659,874,0.0418660531293347,0.5745242597140698,True
44b6_7a302da0,44b6,real,0.42232128977775574,7458,0.07084124159637664,0.5745242597140698,True
44b6_7a302da0,44b6,synthetic,0.4382660984992981,10414,0.10016334286497615,0.5745242597140698,True
44b6_7e557709,44b6,real,0.46730929613113403,6232,0.05872147939363091,0.5745242597140698,True
44b6_7e557709,44b6,synthetic,0.4816593527793884,13395,0.13007253155967477,0.5745242597140698,True
44b6_808952d6,44b6,real,0.42045676708221436,2323,0.06547276772601712,0.5745242597140698,True
44b6_808952d6,44b6,synthetic,0.4339657425880432,2829,0.07979299153270718,0.5745242597140698,True
44b6_81c256f0,44b6,real,0.412459135055542,1389,0.05243796121352299,0.5745242597140698,True
44b6_81c256f0,44b6,synthetic,0.42852547764778137,1870,0.07073930392365492,0.5745242597140698,True
44b6_87bba6c4,44b6,real,0.4034106135368347,5876,0.08605508074449424,0.5745242597140698,True
44b6_87bba6c4,44b6,synthetic,0.40478628873825073,6512,0.0945481179945838,0.5745242597140698,True
44b6_8cc6506c,44b6,real,0.4120901823043823,2217,0.05004203441012588,0.5745242597140698,True
44b6_8cc6506c,44b6,synthetic,0.4259086549282074,1191,0.026601569563708925,0.5745242597140698,True
44b6_8f5ab931,44b6,real,0.4098978340625763,3620,0.05492604227087221,0.5745242597140698,True
44b6_8f5ab931,44b6,synthetic,0.42440176010131836,5131,0.07821311948937815,0.5745242597140698,True
44b6_8f9ecab4,44b6,real,0.46493324637413025,7397,0.07569144300567066,0.5745242597140698,True
44b6_8f9ecab4,44b6,synthetic,0.48161008954048157,12539,0.13218348840863411,0.5745242597140698,True
44b6_90724892,44b6,real,0.4209463894367218,4005,0.07348600485418381,0.5745242597140698,True
44b6_90724892,44b6,synthetic,0.426073282957077,6007,0.11070559067644381,0.5745242597140698,True
44b6_949adeb1,44b6,real,0.4133627712726593,7443,0.08073761357054211,0.5745242597140698,True
44b6_949adeb1,44b6,synthetic,0.4225216209888458,9425,0.10275255707991973,0.5745242597140698,True
44b6_95029e92,44b6,real,0.416632741689682,562,0.04927011395258761,0.5745242597140698,True
44b6_95029e92,44b6,synthetic,0.4178538918495178,1078,0.09815198452621611,0.5745242597140698,True
44b6_97725144,44b6,real,0.40907979011535645,4140,0.05173726571239088,0.5745242597140698,True
44b6_97725144,44b6,synthetic,0.42045509815216064,5276,0.06620812867473894,0.5745242597140698,True
44b6_996155de,44b6,real,0.41380202770233154,1333,0.0607598024503794,0.5745242597140698,True
44b6_996155de,44b6,synthetic,0.41685375571250916,1591,0.0729233262588349,0.5745242597140698,True
44b6_9be80b04,44b6,real,0.42311936616897583,4644,0.07478244907886682,0.5745242597140698,True
44b6_9be80b04,44b6,synthetic,0.4447351396083832,6411,0.10471781617769069,0.5745242597140698,True
44b6_9bfa6a0a,44b6,real,0.4526303708553314,5221,0.05558717034686559,0.5745242597140698,True
44b6_9bfa6a0a,44b6,synthetic,0.46701931953430176,8934,0.09686044428501686,0.5745242597140698,True
44b6_a21120c2,44b6,real,0.4329075515270233,5147,0.10064941184936409,0.5745242597140698,True
44b6_a21120c2,44b6,synthetic,0.41608017683029175,8300,0.16682222422700216,0.5745242597140698,True
44b6_a2bb48bb,44b6,real,0.41333141922950745,8779,0.07954488758314186,0.5745242597140698,True
