variant,embryo,samples,n,edge_jaccard,division_jaccard,division_tp,division_fp,division_fn,node_recall,adj_edge_jaccard,n_adj,score,edge_tp,edge_fp,edge_fn,num_pred_nodes,seconds,requested_keep,realized_keep,baseline_tp_rematched_surviving,newly_recovered_tp,lost_tp,removed_fp,introduced_fp,delta
EF_temporal_transfer_r0.99,pooled,199,199,0.90803352866998,0.09716599190283401,24,96,127,0.980854801395174,0.9113596533806763,199,0.9210762525709597,122412,5927,6471,4092672,219.66595721198246,0.99,0.9900778651117029,121780,632,421,1045,87,0.00930223835231736
E_hgb_m0.5,44b6,71,71,0.9004531361793465,0.09803921568627451,5,25,21,0.9885509592005769,0.9151540892194481,71,0.9249580107880755,18878,1139,948,1980130,71.06792149599642,1.0,1.0,18779,99,4,191,8,0.01243686767460983
E_hgb_m0.5,6bba,128,128,0.9125058186001985,0.09693877551020408,19,71,106,0.9802489030388399,0.9127138714408544,128,0.9224077489918747,103897,4802,5160,2153557,125.20089490525424,1.0,1.0,103391,506,27,820,59,0.010810984102409549
E_hgb_m0.5,pooled,199,199,0.9106316382839851,0.09716599190283401,24,96,127,0.9832109431769471,0.9130933229163202,199,0.9228099221066036,122775,5941,6108,4133687,196.26881640125066,1.0,1.0,122170,605,31,1011,67,0.011035907887961272
E_hgb_m0.5_bounds,44b6,71,71,0.9004531361793465,0.09803921568627451,5,25,21,0.9885509592005769,0.9151540892194481,71,0.9249580107880755,18878,1139,948,1980130,95.29659776668996,1.0,1.0,18779,99,4,191,8,0.01243686767460983
E_hgb_m0.5_bounds,6bba,128,128,0.9125058186001985,0.09693877551020408,19,71,106,0.9802489030388399,0.9127138714408544,128,0.9224077489918747,103897,4802,5160,2153557,137.74800405977294,1.0,1.0,103391,506,27,820,59,0.010810984102409549
E_hgb_m0.5_bounds,pooled,199,199,0.9106316382839851,0.09716599190283401,24,96,127,0.9832109431769471,0.9130933229163202,199,0.9228099221066036,122775,5941,6108,4133687,233.0446018264629,1.0,1.0,122170,605,31,1011,67,0.011035907887961272
E_hgb_m1.5,44b6,71,71,0.8978668698219218,0.09803921568627451,5,25,21,0.9885509592005769,0.9125335105259459,71,0.9223374320945733,18857,1176,969,1980130,71.7413380946964,1.0,1.0,18781,76,2,150,4,0.009816288981107646
E_hgb_m1.5,6bba,128,128,0.9086201458012056,0.09137055837563451,18,72,107,0.9802489030388399,0.9088220388217403,128,0.9179590946593037,103699,5071,5358,2153557,125.73628429602832,1.0,1.0,103405,294,13,520,28,0.006362329769838526
E_hgb_m1.5,pooled,199,199,0.9069488640568342,0.09274193548387097,23,97,128,0.9832109431769471,0.909398878374258,199,0.9186730719226451,122556,6247,6327,4133687,197.47762239072472,1.0,1.0,122186,370,15,670,32,0.006899057704002787
