embryo,model_id,bin,n,mean_score,annotation_rate
6bba,hgb_all_leaf7_high_confidence,5,181,0.539992094039917,0.35359116022099446
6bba,hgb_all_leaf7_high_confidence,6,103,0.6384864449501038,0.4854368932038835
6bba,hgb_all_leaf7_high_confidence,7,43,0.7423691153526306,0.5116279069767442
6bba,hgb_all_leaf7_high_confidence,8,27,0.853247880935669,0.6296296296296297
6bba,hgb_all_leaf7_high_confidence,9,11,0.9205629229545593,0.6363636363636364
6bba,hgb_all_leaf7_shuffled,0,2245971,0.004928960464894772,0.04637771369265231
6bba,hgb_all_leaf7_shuffled,1,156,0.12561698257923126,0.14102564102564102
6bba,hgb_all_leaf7_shuffled,2,6,0.2255449742078781,0.3333333333333333
6bba,hgb_all_leaf7_shuffled,3,2,0.3499041199684143,0.0
6bba,hgb_all_leaf7_synthetic,0,2246086,0.0064926911145448685,0.0463855791808506
6bba,hgb_all_leaf7_synthetic,1,48,0.11562793701887131,0.020833333333333332
6bba,hgb_all_leaf7_synthetic,2,1,0.2004816234111786,0.0
6bba,hgb_appearance_quality_leaf15,0,2229667,0.008182918652892113,0.04557227603942651
6bba,hgb_appearance_quality_leaf15,1,11315,0.14491763710975647,0.14184710561201944
6bba,hgb_appearance_quality_leaf15,2,4591,0.23506484925746918,0.1736005227619255
6bba,hgb_appearance_quality_leaf15,3,541,0.323903352022171,0.2975970425138632
6bba,hgb_appearance_quality_leaf15,4,21,0.412847101688385,0.6190476190476191
6bba,hgb_appearance_quality_leaf7,0,2230865,0.008376963436603546,0.045450083263666785
6bba,hgb_appearance_quality_leaf7,1,9089,0.15221939980983734,0.21311475409836064
6bba,hgb_appearance_quality_leaf7,2,6181,0.2077111452817917,0.13865070376961658
6bba,hgb_geometry_time_leaf15,0,2239704,0.0058998106978833675,0.046076624411082893
6bba,hgb_geometry_time_leaf15,1,3079,0.14368662238121033,0.08249431633647288
6bba,hgb_geometry_time_leaf15,2,1798,0.2439321130514145,0.14015572858731926
6bba,hgb_geometry_time_leaf15,3,854,0.34212034940719604,0.21194379391100704
6bba,hgb_geometry_time_leaf15,4,357,0.4429991543292999,0.31092436974789917
6bba,hgb_geometry_time_leaf15,5,205,0.5445317625999451,0.48292682926829267
6bba,hgb_geometry_time_leaf15,6,137,0.6467501521110535,0.6715328467153284
6bba,hgb_geometry_time_leaf15,7,1,0.7192370295524597,0.0
6bba,hgb_geometry_time_leaf7,0,2240824,0.006053639575839043,0.04609197330981817
6bba,hgb_geometry_time_leaf7,1,1606,0.16088451445102692,0.06911581569115816
6bba,hgb_geometry_time_leaf7,2,2304,0.24599488079547882,0.15885416666666666
6bba,hgb_geometry_time_leaf7,3,858,0.33884379267692566,0.23076923076923078
6bba,hgb_geometry_time_leaf7,4,311,0.43809473514556885,0.34726688102893893
6bba,hgb_geometry_time_leaf7,5,206,0.5525516867637634,0.49029126213592233
6bba,hgb_geometry_time_leaf7,6,26,0.6234226226806641,0.7307692307692307
6bba,hgb_predicted_temporal_leaf15,0,2245672,0.006178209092468023,0.04637809974030045
6bba,hgb_predicted_temporal_leaf15,1,418,0.12781517207622528,0.0861244019138756
6bba,hgb_predicted_temporal_leaf15,2,37,0.2291119247674942,0.02702702702702703
6bba,hgb_predicted_temporal_leaf15,3,6,0.3440186679363251,0.0
6bba,hgb_predicted_temporal_leaf15,4,2,0.4051513671875,0.0
6bba,hgb_predicted_temporal_leaf7,0,2246047,0.006281181238591671,0.04638371325266123
6bba,hgb_predicted_temporal_leaf7,1,86,0.12255506962537766,0.06976744186046512
6bba,hgb_predicted_temporal_leaf7,2,2,0.21899163722991943,0.5
6bba,logistic_all_C0.1,0,2240311,0.008102466352283955,0.04585657973379589
6bba,logistic_all_C0.1,1,5296,0.12766700983047485,0.23923716012084592
6bba,logistic_all_C0.1,2,425,0.23807235062122345,0.36941176470588233
6bba,logistic_all_C0.1,3,79,0.3360917568206787,0.35443037974683544
6bba,logistic_all_C0.1,4,15,0.4322066903114319,0.13333333333333333
6bba,logistic_all_C0.1,5,6,0.548907458782196,0.0
6bba,logistic_all_C0.1,6,2,0.6428717374801636,0.0
6bba,logistic_all_C0.1,7,1,0.7774592638015747,0.0
6bba,logistic_all_C1,0,2238489,0.008162352256476879,0.04568930202471399
