embryo,control,seed,requested_keep,primary_score,control_score,primary_minus_control,primary_annotation_recall,control_annotation_recall,realized_nodes,samples,exact_per_video_node_counts
pooled,random_exact,9,0.9,0.6769067237053615,0.632611835850223,0.044294887855138576,0.9658000405597242,0.9026891097140539,4624277,199,True
pooled,random_exact,10,0.9,0.6769067237053615,0.6307914503062347,0.0461152733991268,0.9658000405597242,0.8967592780369094,4624277,199,True
pooled,random_exact,11,0.9,0.6769067237053615,0.6350003146153834,0.041906409089978114,0.9658000405597242,0.9037517744879335,4624277,199,True
pooled,random_exact,12,0.9,0.6769067237053615,0.6357901696520731,0.0411165540532884,0.9658000405597242,0.9056499695802068,4624277,199,True
pooled,random_exact,13,0.9,0.6769067237053615,0.6334590608626955,0.04344766284266599,0.9658000405597242,0.9034272966943825,4624277,199,True
pooled,random_exact,14,0.9,0.6769067237053615,0.6339979231977677,0.042908800507593825,0.9658000405597242,0.9032975055769621,4624277,199,True
pooled,random_exact,15,0.9,0.6769067237053615,0.6314183406017386,0.04548838310362291,0.9658000405597242,0.9000365037517745,4624277,199,True
pooled,random_exact,16,0.9,0.6769067237053615,0.6331749848660424,0.043731738839319134,0.9658000405597242,0.9018860271750152,4624277,199,True
pooled,random_exact,17,0.9,0.6769067237053615,0.6331681742436018,0.0437385494617597,0.9658000405597242,0.9040762522814845,4624277,199,True
pooled,random_exact,18,0.9,0.6769067237053615,0.6359749778794376,0.04093174582592396,0.9658000405597242,0.9025836544311499,4624277,199,True
pooled,random_exact,19,0.9,0.6769067237053615,0.6274333404513696,0.049473383253991976,0.9658000405597242,0.8929791117420401,4624277,199,True
