embryo,direction,model_id,subset,n,prevalence,auroc,average_precision,ap_over_prevalence,brier,interpretation,randomization_unit
6bba,44b6->6bba,logistic_geometry_time_C10,all,2246135,0.04638501247698825,0.5543992866791664,0.05735064448575895,1.2364046363943695,0.0457497276365757,"Matched sparse-GT membership, not true-cell status",
6bba,44b6->6bba,logistic_geometry_time_C10,high_confidence,1677243,0.056084300247489484,0.5457014470616762,0.06732917451137696,1.2004995018974287,0.05530013516545296,"Matched sparse-GT membership, not true-cell status",
6bba,44b6->6bba,logistic_geometry_time_C10,exclude_ambiguous_diagnostic,2222837,0.046871183087198925,0.5550607566557233,0.05813711946262908,1.2403595478797935,0.046227868646383286,"Matched sparse-GT membership, not true-cell status",
6bba,44b6->6bba,logistic_predicted_temporal_C0.1,all,2246135,0.04638501247698825,0.548207400904219,0.05233322347548761,1.1282356235529805,0.045808613300323486,"Matched sparse-GT membership, not true-cell status",
6bba,44b6->6bba,logistic_predicted_temporal_C0.1,high_confidence,1677243,0.056084300247489484,0.5145596095810567,0.05803308010912894,1.0347473330867971,0.05536797270178795,"Matched sparse-GT membership, not true-cell status",
6bba,44b6->6bba,logistic_predicted_temporal_C0.1,exclude_ambiguous_diagnostic,2222837,0.046871183087198925,0.5470371967352513,0.05269323575356474,1.1242139046401816,0.04628835618495941,"Matched sparse-GT membership, not true-cell status",
6bba,44b6->6bba,logistic_predicted_temporal_C1,all,2246135,0.04638501247698825,0.5481530026814545,0.05231434888243938,1.1278287120951556,0.045808471739292145,"Matched sparse-GT membership, not true-cell status",
6bba,44b6->6bba,logistic_predicted_temporal_C1,high_confidence,1677243,0.056084300247489484,0.5145204212512445,0.05801555629623241,1.0344348782140573,0.055367738008499146,"Matched sparse-GT membership, not true-cell status",
6bba,44b6->6bba,logistic_predicted_temporal_C1,exclude_ambiguous_diagnostic,2222837,0.046871183087198925,0.5469836281855782,0.05267443071560232,1.1238126978277263,0.04628821462392807,"Matched sparse-GT membership, not true-cell status",
6bba,44b6->6bba,logistic_predicted_temporal_C10,all,2246135,0.04638501247698825,0.5481476030844596,0.05231246054361119,1.1277880019880033,0.04580846056342125,"Matched sparse-GT membership, not true-cell status",
6bba,44b6->6bba,logistic_predicted_temporal_C10,high_confidence,1677243,0.056084300247489484,0.5145164810530916,0.058013807099742146,1.0344036895127176,0.055367711931467056,"Matched sparse-GT membership, not true-cell status",
6bba,44b6->6bba,logistic_predicted_temporal_C10,exclude_ambiguous_diagnostic,2222837,0.046871183087198925,0.5469783102690183,0.052672549393511695,1.1237725596881123,0.046288199722766876,"Matched sparse-GT membership, not true-cell status",
6bba,44b6->6bba,image_only_seed20260908,all,2246135,0.04638501247698825,0.5541493613983574,0.0507016649112209,1.0930613619296567,0.04562045633792877,"Matched sparse-GT membership, not true-cell status",
6bba,44b6->6bba,image_only_seed20260908,high_confidence,1677243,0.056084300247489484,0.5724865557490553,0.06528317456640156,1.1640187053831317,0.055143069475889206,"Matched sparse-GT membership, not true-cell status",
6bba,44b6->6bba,image_only_seed20260908,exclude_ambiguous_diagnostic,2222837,0.046871183087198925,0.5543330623326467,0.051234464183689946,1.0930909102160615,0.04609772935509682,"Matched sparse-GT membership, not true-cell status",
6bba,44b6->6bba,image_only_seed314159,all,2246135,0.04638501247698825,0.46870003967025625,0.04184796384201661,0.9021871851986139,0.04592032730579376,"Matched sparse-GT membership, not true-cell status",
6bba,44b6->6bba,image_only_seed314159,high_confidence,1677243,0.056084300247489484,0.49548390594189445,0.054189395583002356,0.9662132779382953,0.05552111938595772,"Matched sparse-GT membership, not true-cell status",
6bba,44b6->6bba,image_only_seed314159,exclude_ambiguous_diagnostic,2222837,0.046871183087198925,0.4679940636318445,0.04221312341084077,0.9006199679728092,0.046401314437389374,"Matched sparse-GT membership, not true-cell status",
6bba,44b6->6bba,image_plus_tabular_seed20260908,all,2246135,0.04638501247698825,0.5374526222832927,0.052127510880915134,1.123800729961553,0.045593131333589554,"Matched sparse-GT membership, not true-cell status",
6bba,44b6->6bba,image_plus_tabular_seed20260908,high_confidence,1677243,0.056084300247489484,0.5000193511426256,0.05688330289062308,1.0142464582709911,0.05507843941450119,"Matched sparse-GT membership, not true-cell status",
6bba,44b6->6bba,image_plus_tabular_seed20260908,exclude_ambiguous_diagnostic,2222837,0.046871183087198925,0.5367092498816692,0.05253627400743161,1.120865114705839,0.046069733798503876,"Matched sparse-GT membership, not true-cell status",
6bba,44b6->6bba,image_plus_tabular_seed314159,all,2246135,0.04638501247698825,0.6456119415476,0.07536513447351015,1.6247734009104562,0.04488825052976608,"Matched sparse-GT membership, not true-cell status",
6bba,44b6->6bba,image_plus_tabular_seed314159,high_confidence,1677243,0.056084300247489484,0.6149064124999598,0.08044639819727237,1.434383559075847,0.05416521057486534,"Matched sparse-GT membership, not true-cell status",
6bba,44b6->6bba,image_plus_tabular_seed314159,exclude_ambiguous_diagnostic,2222837,0.046871183087198925,0.6456670189862922,0.07604449500199337,1.622414669169339,0.04535488039255142,"Matched sparse-GT membership, not true-cell status",
6bba,44b6->6bba,hgb_all_leaf7_shuffled,independent_randomized_outer_target,2246135,0.03535940626899096,0.4963027771855026,0.03554700206018326,,0.03504430130124092,,maximal predicted nonbranching tracklet
6bba,44b6->6bba,hgb_all_leaf7_synthetic,independent_randomized_outer_target,2246135,0.04651946565990023,0.5018825431295197,0.04662348993051274,,0.04596574977040291,,maximal predicted nonbranching tracklet
44b6,6bba->44b6,quality,all,2890526,0.0066036423820439605,0.6282611342207055,0.011448755230694382,1.733703094193111,,"Matched sparse-GT membership, not true-cell status",
44b6,6bba->44b6,quality,high_confidence,2256020,0.007533621155840817,0.600539530437905,0.011976088528373943,1.589685528464473,,"Matched sparse-GT membership, not true-cell status",
44b6,6bba->44b6,quality,exclude_ambiguous_diagnostic,2885187,0.0066158623340532175,0.6282898903915008,0.011470552473785853,1.7337955197079202,,"Matched sparse-GT membership, not true-cell status",
44b6,6bba->44b6,constant,all,2890526,0.0066036423820439605,0.5,0.0066036423820439605,1.0,0.008175112307071686,"Matched sparse-GT membership, not true-cell status",
44b6,6bba->44b6,constant,high_confidence,2256020,0.007533621155840817,0.5,0.007533621155840817,1.0,0.009018058888614178,"Matched sparse-GT membership, not true-cell status",
44b6,6bba->44b6,constant,exclude_ambiguous_diagnostic,2885187,0.0066158623340532175,0.5,0.0066158623340532175,1.0,0.008186188526451588,"Matched sparse-GT membership, not true-cell status",
44b6,6bba->44b6,hgb_all_leaf15,all,2890526,0.0066036423820439605,0.6919699680953949,0.014124688670762952,2.1389239231321118,0.007735077757388353,"Matched sparse-GT membership, not true-cell status",
44b6,6bba->44b6,hgb_all_leaf15,high_confidence,2256020,0.007533621155840817,0.6725678157069903,0.014875946483483416,1.974607718620161,0.008885560557246208,"Matched sparse-GT membership, not true-cell status",
44b6,6bba->44b6,hgb_all_leaf15,exclude_ambiguous_diagnostic,2885187,0.0066158623340532175,0.6919940666424611,0.014149409549557686,2.1387097909712747,0.007746405433863401,"Matched sparse-GT membership, not true-cell status",
44b6,6bba->44b6,hgb_all_leaf7,all,2890526,0.0066036423820439605,0.6956572907736563,0.01445970447749953,2.1896558960880554,0.0076304408721625805,"Matched sparse-GT membership, not true-cell status",
44b6,6bba->44b6,hgb_all_leaf7,high_confidence,2256020,0.007533621155840817,0.6758194658243579,0.015210264715778021,2.0189845495463365,0.00876635778695345,"Matched sparse-GT membership, not true-cell status",
44b6,6bba->44b6,hgb_all_leaf7,exclude_ambiguous_diagnostic,2885187,0.0066158623340532175,0.6956922949754053,0.014485697675980732,2.1895403719965327,0.007641560863703489,"Matched sparse-GT membership, not true-cell status",
44b6,6bba->44b6,hgb_all_leaf7_ambiguous_excluded,all,2890526,0.0066036423820439605,0.696455386808706,0.014700605665048537,2.2261359435545938,0.007709937170147896,"Matched sparse-GT membership, not true-cell status",
44b6,6bba->44b6,hgb_all_leaf7_ambiguous_excluded,high_confidence,2256020,0.007533621155840817,0.6766845525186309,0.015475108194088608,2.0541394203358307,0.008861972950398922,"Matched sparse-GT membership, not true-cell status",
44b6,6bba->44b6,hgb_all_leaf7_ambiguous_excluded,exclude_ambiguous_diagnostic,2885187,0.0066158623340532175,0.6964951014398378,0.014729197162740638,2.226345776109397,0.00772078288719058,"Matched sparse-GT membership, not true-cell status",
