embryo,variant_id,model_id,policy,seed,requested_keep,source_rule_role,baseline_score,delta,n,edge_jaccard,division_jaccard,division_tp,division_fp,division_fn,node_recall,adj_edge_jaccard,n_adj,score,edge_tp,edge_fp,edge_fn,num_pred_nodes,realized_keep,prevalence,annotation_recall,specificity,precision,phi,deleted_annotation_rate,deleted_rate_relative_to_population,candidate_nodes,matched_nodes,kept_matched_nodes,old_tp_endpoint_survival,old_tp_rematched_survival,newly_recovered_tp,baseline_edge_jaccard,baseline_division_jaccard,baseline_adj_edge_jaccard,baseline_edge_tp,baseline_edge_fp,baseline_edge_fn,baseline_count_ratio_of_sums,filtered_count_ratio_of_sums,baseline_count_ratio_mean_of_ratios,filtered_count_ratio_mean_of_ratios,rematched_nodes,rematched_gt_node_recall,gt_node_recall_mean_of_ratios,fp_retained_ratio,alpha0_score,alpha0_delta,count_effect,graph_effect,division_effect,count_share_of_positive_delta,break_even_weighted_tp_ratio,measured_weighted_tp_ratio
6bba,hgb_all_leaf15__membership_tracklets_fork_protected__s20260908__r0.9,hgb_all_leaf15,membership_tracklets_fork_protected,20260908,0.9,preregistered_descriptive,0.6689079629333697,0.0028896234849409286,128,0.6683993604833331,0.0,0,0,125,0.895998110003161,0.6717975864183107,128,0.6717975864183107,83195,15412,25862,2022244,0.9003216636577944,0.04638501247698825,0.9647940721971071,0.10281435403660594,0.049706662499678575,0.047465379658934374,0.01638297207123109,0.3531953792048398,2246135,104187,100519,0.9745636264595126,0.9745636264595126,897,0.6725442410920501,0.0,0.6689079629333697,84446,16505,24611,1.0664663957454061,0.9601627996526358,1.0615908831920393,0.9559869890897741,101348,0.8959256017892345,0.895998110003161,0.9337776431384429,0.6683993604833331,-0.004144880608716983,0.007031014042711836,-0.00414139055777113,2.220446049250313e-16,2.433193832813678,0.9809519302459941,0.9851895561860508
6bba,hgb_all_leaf15__membership_tracklets_fork_protected__s20260908__r0.8,hgb_all_leaf15,membership_tracklets_fork_protected,20260908,0.8,preregistered_descriptive,0.6689079629333697,-0.022569360270464522,128,0.6364339129797951,0.0,0,0,125,0.8337437061340509,0.6463386026629052,128,0.6463386026629052,78212,13834,30845,1797870,0.8004282912647726,0.04638501247698825,0.8898327046560511,0.20392044998291275,0.05156601979008493,0.04933448054111487,0.025605389669057364,0.5520186004425519,2246135,104187,92709,0.9058214717097317,0.9057859460483623,1722,0.6725442410920501,0.0,0.6689079629333697,84446,16505,24611,1.0664663957454061,0.8536298748377962,1.0615908831920393,0.8501758079830508,94383,0.8343543639112101,0.8337437061340509,0.8381702514389578,0.6364339129797951,-0.03611032811225501,0.013739632863795315,-0.03630899313425995,1.1102230246251565e-16,,0.9584986521722352,0.9261583264497492
6bba,hgb_all_leaf15__membership_tracklets_fork_protected__s20260908__r0.7,hgb_all_leaf15,membership_tracklets_fork_protected,20260908,0.7,preregistered_descriptive,0.6689079629333697,-0.06070493697586332,128,0.5927501463326161,0.0,0,0,125,0.7621756453493984,0.6082030259575064,128,0.6082030259575064,71900,12242,37157,1573644,0.7006008098355619,0.04638501247698825,0.8055419582097575,0.30450365741838736,0.05333290121526851,0.05053444368680684,0.03012679723594814,0.6494942143411978,2246135,104187,83927,0.8256518958861284,0.8256400539990053,2178,0.6725442410920501,0.0,0.6689079629333697,84446,16505,24611,1.0664663957454061,0.7471672205216445,1.0615908831920393,0.7443970622388199,86092,0.7610611645936652,0.7621756453493984,0.7417146319297183,0.5927501463326161,-0.079794094759434,0.01992951967784623,-0.08063445665370966,1.1102230246251565e-16,,0.9363932479452723,0.8514134057979844
6bba,hgb_all_leaf15__membership_tracklets_fork_protected__s20260908__r0.5,hgb_all_leaf15,membership_tracklets_fork_protected,20260908,0.5,preregistered_descriptive,0.6689079629333697,-0.17274912464632775,128,0.4738151437450118,0.0,0,0,125,0.5841088029021838,0.496158838287042,128,0.496158838287042,55805,8721,53252,1124406,0.5005959125341977,0.04638501247698825,0.6037029571827579,0.5044193416460157,0.055938869056195,0.045480051504312634,0.036808355672359364,0.7935398463160941,2246135,104187,62898,0.6274068635577765,0.627264760912299,2835,0.6725442410920501,0.0,0.6689079629333697,84446,16505,24611,1.0664663957454061,0.5338687185652283,1.0615908831920393,0.5320135237022801,65779,0.581492384261101,0.5841088029021837,0.5283853377764314,0.4738151437450118,-0.1987290973470383,0.030144879167588207,-0.20289400381391587,-5.551115123125783e-17,,0.8909054209506383,0.6608242436583579
6bba,hgb_all_leaf15__membership_tracklets_fork_protected__s20260908__r0.3,hgb_all_leaf15,membership_tracklets_fork_protected,20260908,0.3,preregistered_descriptive,0.6689079629333697,-0.3254617087314569,128,0.3215027837446846,0.0,0,0,125,0.37673115297533505,0.3434462542019128,128,0.3434462542019128,36669,4998,72388,675260,0.3006319744806078,0.04638501247698825,0.38160231122884813,0.7033065228474268,0.05887806178360928,0.03894554442529901,0.04101472109493117,0.8842235649991191,2246135,104187,39758,0.40363072259195226,0.4035951969305829,2587,0.6725442410920501,0.0,0.6689079629333697,84446,16505,24611,1.0664663957454061,0.32061389827015874,1.0615908831920393,0.3197298061075163,42427,0.37505856560673967,0.37673115297533505,0.30281732808239925,0.3215027837446846,-0.3510414573473655,0.03661137086923752,-0.36207307960069446,5.551115123125783e-17,,0.8457220366688935,0.4342302404596686
6bba,hgb_all_leaf15__membership_tracklets_fork_protected__s20260908__r0.1,hgb_all_leaf15,membership_tracklets_fork_protected,20260908,0.1,preregistered_descriptive,0.6689079629333697,-0.5261973596384922,128,0.13101374958245687,0.0,0,0,125,0.14724833798966722,0.14271060329487753,128,0.14271060329487753,14512,1710,94545,226513,0.10084567490377916,0.04638501247698825,0.14699530651616804,0.9013991002582695,0.06761201343852229,0.03380062931609691,0.04400427406712741,0.9486744040213003,2246135,104187,15315,0.15856286857873672,0.1585273429173673,1125,0.6725442410920501,0.0,0.6689079629333697,84446,16505,24611,1.0664663957454061,0.10754852344114632,1.0615908831920393,0.10792387959553976,16482,0.14570238947675498,0.14724833798966722,0.10360496819145713,0.13101374958245687,-0.5415304915095933,0.03803912505822908,-0.5642364846967214,8.326672684688674e-17,,0.8054872588136036,0.1718496101429681
6bba,hgb_all_leaf7__membership_nodes__s20260908__r0.9,hgb_all_leaf7,membership_nodes,20260908,0.9,preregistered_descriptive,0.6689079629333697,-0.00753739116722385,128,0.6579947407241125,0.0,0,0,125,0.8987499632103443,0.6613705717661459,128,0.6613705717661459,82073,15675,26984,2021582,0.9000269351575039,0.04638501247698825,0.97278931152639,0.10351231682561855,0.05013499328743529,0.05349829271668786,0.012625081829234079,0.2721801969008291,2246135,104187,101352,0.9686663666721929,0.9686663666721929,273,0.6725442410920501,0.0,0.6689079629333697,84446,16505,24611,1.0664663957454061,0.9598484816112076,1.0615908831920393,0.9554825037723209,101765,0.899611919979491,0.8987499632103442,0.9497122084216904,0.6579947407241125,-0.014549500367937673,0.007009073326581683,-0.014546464493805533,0.0,,0.9829770020250519,0.9719006169568333
6bba,hgb_all_leaf7__membership_nodes__s20260908__r0.8,hgb_all_leaf7,membership_nodes,20260908,0.8,preregistered_descriptive,0.6689079629333697,-0.03466359251646667,128,0.6244529429436745,0.0,0,0,125,0.850364221900989,0.6342443704169031,128,0.6342443704169031,76907,14102,32150,1796961,0.8000235960883918,0.04638501247698825,0.9149893940702775,0.2055684825215178,0.05305067833970799,0.0633913772754491,0.01971841647112255,0.42510318351008136,2246135,104187,95330,0.9032399403168889,0.9032044146555195,635,0.6725442410920501,0.0,0.6689079629333697,84446,16505,24611,1.0664663957454061,0.8531982810316658,1.0615908831920393,0.849316024341609,96313,0.8514157406670733,0.8503642219009889,0.8544077552256892,0.6244529429436745,-0.04809129814837565,0.013667926466887581,-0.04833151898335436,1.1102230246251565e-16,,0.9605070074249547,0.910732411576847
6bba,hgb_all_leaf7__membership_nodes__s20260908__r0.7,hgb_all_leaf7,membership_nodes,20260908,0.7,preregistered_descriptive,0.6689079629333697,-0.08093287064427612,128,0.5729594614661189,0.0,0,0,125,0.7807809746519565,0.5879750922890936,128,0.5879750922890936,69453,12161,39604,1572353,0.700026044739074,0.04638501247698825,0.8344419169378138,0.30651210953767316,0.05529165524535521,0.06469250757628912,0.025600268336049347,0.5519081912233983,2246135,104187,86938,0.8112995286928925,0.8112758449186462,944,0.6725442410920501,0.0,0.6689079629333697,84446,16505,24611,1.0664663957454061,0.7465542528607927,1.0615908831920393,0.7431625657975969,88403,0.7814906162427843,0.7807809746519565,0.7368070281732808,0.5729594614661189,-0.09958477962593126,0.019690140215550822,-0.10062301085982694,0.0,,0.9356597379349201,0.8224518936071837
6bba,hgb_all_leaf7__membership_nodes__s20260908__r0.5,hgb_all_leaf7,membership_nodes,20260908,0.5,preregistered_descriptive,0.6689079629333697,-0.21271311265078974,128,0.43560654453160264,0.0,0,0,125,0.6011702337805851,0.45619485028258,128,0.45619485028258,51145,8354,57912,1123102,0.5000153597179154,0.04638501247698825,0.6311727950704022,0.5063643001604147,0.05855211726094335,0.057852911036612865,0.034217160136879324,0.7376770708826383,2246135,104187,65760,0.59172725765578,0.5916443644459181,1183,0.6725442410920501,0.0,0.6689079629333697,84446,16505,24611,1.0664663957454061,0.5332495784957081,1.0615908831920393,0.5308244998742923,67842,0.5997294931975495,0.6011702337805851,0.506149651620721,0.43560654453160264,-0.2369376965604475,0.029206755175743337,-0.24191986782653313,5.551115123125783e-17,,0.8880297176268647,0.6056357623591679
